epoch,step,train/cardinality_error,train/cardinality_error_0,train/cardinality_error_1,train/cardinality_error_enc,train/class_error,train/loss,train/loss_bbox,train/loss_bbox_0,train/loss_bbox_1,train/loss_bbox_enc,train/loss_ce,train/loss_ce_0,train/loss_ce_1,train/loss_ce_enc,train/loss_giou,train/loss_giou_0,train/loss_giou_1,train/loss_giou_enc,train/lr,train/lr_max,train/lr_min,val/AP/cigarette_pack,val/F1,val/ema_mAP_50,val/ema_mAP_50_95,val/ema_mAR,val/loss,val/mAP_50,val/mAP_50_95,val/mAP_75,val/mAR,val/precision,val/recall
0,49,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,4.04070533477352e-06,,,,,,,,,,,,
0,75,,,,,,,,,,,,,,,,,,,,,,0.6637201905250549,0.8571428656578064,0.8578572273254395,0.6438169479370117,0.8863636255264282,6.078742980957031,0.8699483871459961,0.6637201905250549,0.7234821319580078,0.8878787755966187,0.8999999761581421,0.8181818127632141
0,75,3848.29638671875,3853.83447265625,3850.9404296875,3855.42041015625,13.728486061096191,4.342544078826904,0.016265960410237312,0.016679972410202026,0.016408538445830345,0.020487960427999496,0.6081246137619019,0.7297265529632568,0.6179277300834656,0.7957684993743896,0.14905805885791779,0.14972130954265594,0.14910663664340973,0.17300790548324585,,,,,,,,,,,,,,,
1,99,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,4.04070533477352e-06,,,,,,,,,,,,
1,149,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,4.04070533477352e-06,,,,,,,,,,,,
1,151,,,,,,,,,,,,,,,,,,,,,,0.7565807104110718,0.9016393423080444,0.9216948747634888,0.7665533423423767,0.8954545259475708,5.5532636642456055,0.9272099733352661,0.7565807104110718,0.822496235370636,0.8924242258071899,0.9821428656578064,0.8333333134651184
1,151,3857.06298828125,3857.06298828125,3857.06298828125,3856.993408203125,0.002116121118888259,3.118013858795166,0.01443683821707964,0.014549441635608673,0.014378863386809826,0.01920979842543602,0.4001432955265045,0.45400696992874146,0.40428557991981506,0.4683034121990204,0.12996487319469452,0.13037197291851044,0.12971368432044983,0.1491491049528122,,,,,,,,,,,,,,,
2,199,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,4.04070533477352e-06,,,,,,,,,,,,
2,227,,,,,,,,,,,,,,,,,,,,,,0.784694492816925,0.9032257795333862,0.9299834966659546,0.7740302085876465,0.8893939256668091,5.232921600341797,0.9388829469680786,0.784694492816925,0.8430074453353882,0.9045454263687134,0.9655172228813171,0.8484848737716675
2,227,3857.155517578125,3857.16064453125,3857.16064453125,3857.109375,0.0004143367405049503,2.9979825019836426,0.013280198909342289,0.01350892148911953,0.013325102627277374,0.017923470586538315,0.38942721486091614,0.4277856945991516,0.3946177065372467,0.448484867811203,0.12490615993738174,0.12519517540931702,0.12469393759965897,0.14894381165504456,,,,,,,,,,,,,,,
3,249,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,4.04070533477352e-06,,,,,,,,,,,,
3,299,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,4.04070533477352e-06,,,,,,,,,,,,
3,303,,,,,,,,,,,,,,,,,,,,,,0.7790542840957642,0.9242424368858337,0.9583532214164734,0.7929574847221375,0.9060605764389038,5.975313186645508,0.9468117356300354,0.7790542840957642,0.860242486000061,0.9045454263687134,0.9242424368858337,0.9242424368858337
3,303,3857.16064453125,3857.107666015625,3857.16064453125,3856.980224609375,0.0008458017255179584,3.0022614002227783,0.013142780400812626,0.013619847595691681,0.013134670443832874,0.021104678511619568,0.3767399191856384,0.41130468249320984,0.37962606549263,0.4619899392127991,0.12423128634691238,0.12531886994838715,0.12373842298984528,0.16050657629966736,,,,,,,,,,,,,,,
4,349,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,4.04070533477352e-06,,,,,,,,,,,,
4,379,,,,,,,,,,,,,,,,,,,,,,0.8378216028213501,0.930232584476471,0.9659703969955444,0.8110424876213074,0.9045454263687134,4.748320579528809,0.9734306335449219,0.8378216028213501,0.9046482443809509,0.9151515364646912,0.9523809552192688,0.9090909361839294
4,379,3857.16064453125,3857.120849609375,3857.158935546875,3857.0380859375,-3.2336506592400838e-06,2.886784315109253,0.013212657533586025,0.014547954313457012,0.013484859839081764,0.02175361104309559,0.36563897132873535,0.4068140387535095,0.37287697196006775,0.4460115134716034,0.11561878770589828,0.11817483603954315,0.11599299311637878,0.14043670892715454,,,,,,,,,,,,,,,
5,399,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,4.04070533477352e-06,,,,,,,,,,,,
5,449,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,4.04070533477352e-06,,,,,,,,,,,,
5,455,,,,,,,,,,,,,,,,,,,,,,0.7759352326393127,0.9375,0.9632745981216431,0.8099627494812012,0.9060605764389038,5.295304775238037,0.9585276246070862,0.7759352326393127,0.8471575975418091,0.8863636255264282,0.9677419066429138,0.9090909361839294
5,455,3857.10595703125,3857.0048828125,3857.0927734375,3856.83447265625,-3.4104909900634084e-06,3.0172343254089355,0.013765306212008,0.014744497835636139,0.013621616177260876,0.02185026928782463,0.37753695249557495,0.4236917495727539,0.3851374089717865,0.46812430024147034,0.12313973903656006,0.12430065870285034,0.12285847961902618,0.1511186957359314,,,,,,,,,,,,,,,
6,499,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,4.04070533477352e-06,,,,,,,,,,,,
6,531,,,,,,,,,,,,,,,,,,,,,,0.8221874237060547,0.9448819160461426,0.9778519868850708,0.8222445845603943,0.9106060862541199,4.607352256774902,0.985282301902771,0.8221874237060547,0.8938499093055725,0.9015151262283325,0.9836065769195557,0.9090909361839294
6,531,3857.11083984375,3856.83935546875,3857.0712890625,3856.83935546875,-3.056810328416759e-06,2.737640857696533,0.012635613791644573,0.01298670843243599,0.012599986046552658,0.01922166347503662,0.35072916746139526,0.3815777003765106,0.3551567792892456,0.4256039559841156,0.11134643107652664,0.11201617121696472,0.11119715124368668,0.13411693274974823,,,,,,,,,,,,,,,
7,549,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,4.04070533477352e-06,,,,,,,,,,,,
7,599,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,4.04070533477352e-06,,,,,,,,,,,,
7,607,,,,,,,,,,,,,,,,,,,,,,0.7928557991981506,0.9448819160461426,0.983802318572998,0.8295403122901917,0.9151515364646912,5.042586803436279,0.9854193925857544,0.7928557991981506,0.8913451433181763,0.8833333253860474,0.9836065769195557,0.9090909361839294
7,607,3857.07275390625,3857.061279296875,3857.07275390625,3857.028076171875,-3.3852279557322618e-06,2.827671766281128,0.012985940091311932,0.01367188896983862,0.012921660207211971,0.019342945888638496,0.3663099706172943,0.39235931634902954,0.36878713965415955,0.420146107673645,0.1182522401213646,0.11956144124269485,0.11800548434257507,0.13691005110740662,,,,,,,,,,,,,,,
8,649,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,4.04070533477352e-06,,,,,,,,,,,,
8,683,,,,,,,,,,,,,,,,,,,,,,0.818812906742096,0.9312977194786072,0.9871658086776733,0.8337660431861877,0.9212121367454529,5.152925491333008,0.9681763052940369,0.818812906742096,0.9054612517356873,0.9060605764389038,0.9384615421295166,0.9242424368858337
8,683,3857.16064453125,3857.07275390625,3857.094482421875,3856.88916015625,-3.3347023418173194e-06,2.7503304481506348,0.01247119065374136,0.01275506429374218,0.012301689013838768,0.01830182783305645,0.35552144050598145,0.3808736801147461,0.35826176404953003,0.4210582673549652,0.11436402797698975,0.11423352360725403,0.11356833577156067,0.1355668157339096,,,,,,,,,,,,,,,
9,699,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,4.04070533477352e-06,,,,,,,,,,,,
